DIAG SET 1: DJF MEANS SOUTHERN EXTRATROPICS (90S-20S)
 
TEST CASE: corey34 (yrs 2030-2049)
 
CONTROL CASE: b.e11.TSREFC2.f09.g16.ccmi23.003 (yrs 2030-2049)
 
Variable          corey34        b.e11.TSREFC2.f09.g16.ccmi23.003        corey34        RMSE
                                                            -b.e11.TSREFC2.f09.g16.ccmi23.003
RESTOM            72.186              76.539            -4.353        11.139
RESSURF           81.266              84.226            -2.960         6.675
SOLIN            471.643             471.643             0.000         0.000
AAM           -9.990e+02          -9.990e+02        -9.990e+02      -999.000
CHI_200           -2.920              -2.981             0.061         0.308
CLDHGH            21.073              21.155            -0.082         1.633
CLDLOW            42.326              42.526            -0.200         1.987
CLDMED            13.749              13.636             0.113         1.356
CLDTOT            52.881              53.122            -0.241         1.950
EKE_850           29.990              29.739             0.251         1.682
EP            -3.148e-02          -1.889e-02        -1.259e-02         0.340
FLNS              56.561              55.339             1.222         2.269
FLNSC             86.023              84.452             1.572         2.162
FLNT             235.835             237.206            -1.371         2.463
FLNTC            258.361             259.906            -1.545         1.782
FSDS             262.982             260.093             2.888         6.289
FSDSC            356.676             354.900             1.776         2.325
FSNS             211.303             216.534            -5.230        12.547
FSNSC            292.392             300.752            -8.360        17.017
FSNSC_ICE        124.756             120.978             3.779         8.884
FSNSC_LAND       190.759             190.728             0.031         1.588
FSNT             308.021             313.745            -5.724        12.044
FSNTC            380.249             389.076            -8.827        16.497
ICEAREA            8.146               7.223             0.922         0.057
LHFLX             62.602              65.976            -3.374         7.475
LWCF              22.526              22.700            -0.174         1.556
PRECT              2.174               2.278            -0.104         0.337
PRECT_LAND         2.688               2.763            -0.075         0.372
PRECT_OCEAN        2.094               2.209            -0.115         0.342
PREH2O            21.002              22.479            -1.476         1.882
PREH2O_OCEAN      22.811              24.252            -1.441         2.059
PSI_200            6.653               6.594             0.059         0.119
PS               983.704             983.583             0.120         0.610
PSL             1007.018            1006.862             0.157         0.579
QFLX               2.142               2.259            -0.117         0.238
SHFLX             10.874              10.993            -0.118         1.698
SNOWHLND          46.954              46.914             0.040         0.996
SST               16.032              16.903            -0.871         0.988
STRESS_MAG         0.084               0.081             0.002         0.006
SWCF             -72.228             -75.331             3.103         6.776
T_850            279.220             279.998            -0.778         0.841
TGCLDLWP         144.958             146.893            -1.936        11.262
TGCLDIWP          16.820              16.368             0.453         1.333
TICLDTWP        -999.000            -999.000          -999.000      -999.000
AODVIS          -999.000            -999.000          -999.000      -999.000
AODDUST         -999.000            -999.000          -999.000      -999.000
TREFHT           284.744             285.519            -0.775         0.870
TS               285.227             286.033            -0.805         0.934
TS_LAND          275.874             276.622            -0.748         0.890
U_200             19.745              19.516             0.229         0.870
VT_850            -0.096              -0.099             0.003         0.707
Z3_500            55.884              56.046            -0.162         0.171
